"RNA17005" "RNA17007" "RNA17013" "RNA17019" "RNA17069" "RNA17070" "RNA17072" "RNA17079" "RNA17090" "RNA17094" "RNA17099" "RNA17108" "RNA17122" "RNA17130" "RNA17142" "RNA17145" "RNA17162" "RNA17174" "RNA17176" "RNA17178" "RNA17181" "RNA17203" "RNA17211" "RNA17213"
"LOC111099114" 5 2 2 1 0 1 3 0 3 3 0 0 1 2 2 0 0 0 0 1 0 3 0 1
"LOC111099115" 3 0 0 1 2 2 4 5 1 3 1 6 0 0 7 3 1 6 0 4 4 2 0 1
"LOC111099116" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099117" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 7 0 0 0
"LOC111099118" 0 4 0 0 3 1 2 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 4 0
"LOC111099119" 0 6 1 1 2 0 0 1 1 0 0 1 1 3 0 3 1 0 2 1 0 2 0 0
"LOC111099120" 0 1 0 3 15 3 2 1 0 2 2 0 1 0 0 2 0 4 0 0 0 5 0 1
"LOC111099121" 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 6 0 0 0 0 2 0 1 0
"LOC111099122" 1 5 0 1 0 0 0 0 1 1 0 0 0 0 1 1 3 2 0 0 0 3 0 2
"LOC111099123" 1 2 2 7 1 1 1 1 1 2 0 2 1 0 2 5 2 3 0 6 0 1 1 2
"LOC111099124" 5 0 0 1 0 0 14 0 0 0 0 8 0 0 0 1 0 0 0 0 6 0 0 0
"LOC111099125" 3 1 1 1 2 0 2 0 2 1 1 0 0 1 0 0 0 3 2 0 1 3 0 0
"LOC111099126" 2 0 0 1 1 2 0 0 18 0 0 0 10 5 2 1 0 11 0 0 0 0 2 0
"LOC111099127" 8 3 1 0 0 1 2 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 2
"LOC111099128" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099129" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 2
"LOC111099130" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0
"LOC111099131" 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0
"LOC111099132" 4 0 1 0 1 1 0 24 3 0 24 2 0 0 0 1 0 1 0 1 0 6 0 0
"LOC111099133" 7 0 0 1 0 3 1 3 1 0 2 3 2 7 0 0 1 1 1 0 0 1 1 0
"LOC111099134" 0 0 4 6 0 0 0 2 1 9 0 1 5 0 0 3 0 3 3 1 0 3 3 2
"LOC111099135" 0 0 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 4 0 3 2 1 0 3
"LOC111099136" 1 0 6 7 5 1 5 24 14 3 3 1 1 4 5 3 0 2 0 1 1 3 0 0
"LOC111099137" 0 0 0 0 1 0 0 0 1 1 0 0 0 1 2 0 0 0 4 0 0 0 0 1
"LOC111099138" 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0
"LOC111099139" 0 1 0 10 4 1 0 2 9 3 0 0 1 1 1 9 3 2 6 1 1 3 5 0
"LOC111099140" 4 2 2 10 7 2 3 2 5 2 48 1 1 4 2 2 3 4 3 0 2 3 2 5
"LOC111099141" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099142" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"LOC111099143" 37 40 48 19 57 41 19 31 39 65 42 38 21 10 34 25 20 31 41 26 37 35 36 63
"LOC111099144" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099145" 1 1 0 0 5 0 1 6 2 2 35 2 2 0 0 1 0 0 2 0 0 0 1 1
"LOC111099146" 5 2 0 3 4 4 5 1 8 16 2 5 3 0 0 5 0 3 23 2 2 2 108 0
"LOC111099147" 2 0 2 1 10 1 0 0 2 8 3 3 3 2 2 1 1 6 2 4 3 5 2 3
"LOC111099148" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099149" 0 1 1 0 1 0 0 0 0 0 4 0 0 0 0 0 2 0 1 1 0 0 1 2
"LOC111099150" 2 10 2 1 0 0 2 0 6 2 2 10 2 1 1 3 9 3 2 0 2 6 1 2
"LOC111099151" 3 3 4 7 2 4 1 3 0 7 4 3 3 7 2 5 1 11 4 0 2 4 1 3
"LOC111099152" 1 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0
"LOC111099153" 1 0 0 0 0 1 0 0 0 0 4 4 2 0 1 0 3 1 2 0 1 0 0 0
"LOC111099154" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099155" 4 3 4 1 9 3 1 4 1 6 4 0 5 10 1 6 3 5 6 3 5 9 6 5
"LOC111099156" 2 1 0 1 1 1 1 2 2 4 3 0 1 3 5 2 0 1 1 0 0 1 0 0
"LOC111099157" 4 8 3 5 3 2 3 0 5 6 6 29 2 7 0 3 5 1 3 6 29 3 3 9
"LOC111099158" 0 0 1 0 1 1 1 0 2 2 1 0 1 0 0 2 2 1 1 1 1 0 0 0
"LOC111099159" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
