"","RNA17005","RNA17007","RNA17013","RNA17019","RNA17069","RNA17070","RNA17072","RNA17079","RNA17090","RNA17094","RNA17099","RNA17108","RNA17122","RNA17130","RNA17142","RNA17145","RNA17162","RNA17174","RNA17176","RNA17178","RNA17181","RNA17203","RNA17211","RNA17213"
"LOC111099104",7.31989820897436,5.08415525712259,6.88001054557547,5.21184917836757,5.97004023380039,5.83044256486717,5.37029147414179,4.97021936704731,4.53604399677829,4.1956001035918,6.3891170380253,5.35638389465566,4.79480881380835,5.02349916912776,4.82773048707848,5.11370774215321,4.66393537965271,5.33848095799563,7.28248208364375,4.43997848825147,5.32867643013606,6.08132003366026,6.72311345226203,5.84990994270302
"LOC111099143",8.05686380314057,7.96457364136992,8.27047002213365,7.03781977859252,8.29196832868775,8.11801915496375,7.19626207436674,7.77757428910491,8.03246982289779,8.90709501024189,8.15465178438827,8.16373881671326,7.05114856706814,6.2458915904642,8.12890002179904,7.6162080826824,7.21413246221319,7.40887028588703,8.165668418661,7.8459708479273,8.38757011918963,7.98313963972136,8.05495701601448,8.5906671160316
"LOC111099172",7.31989820897436,5.71218647973564,4.47791210200413,4.55977248178788,5.3533688733519,5.99090723706041,6.43442181156151,4.12222246049236,5.81615191597102,6.2659894314832,6.13757827102933,5.35638389465566,6.57908012275291,5.76046476329396,6.41269298779963,5.85067333631942,5.76347105320362,6.28957135751468,6.74482529770095,6.02494098897262,4.96610635075136,5.53383223835777,6.25744987991322,7.15657128093707
"LOC111099194",7.11344733150693,6.26857982826002,7.28526702406173,6.00034507317386,7.75025902592048,7.16924447831892,7.40271295183417,6.84468848496345,7.34339891883589,7.23122401332252,7.62790389761241,7.451541127696,8.44506277478122,6.98285718463041,6.6642317547956,6.69867024287437,6.24889788037386,7.31423341174895,7.34521783899171,7.89941010688876,7.444153647556,7.19094452483476,6.72311345226203,7.90576317743654
"LOC111099217",6.95732812958965,6.26857982826002,6.6247534903334,7.17868231443237,6.40067458813025,4.06490781850419,3.49582235622565,3.38525686632615,5.97661658816427,5.57411172684553,7.72254077175049,6.28926969879712,5.53177440797455,7.52599950965694,7.99765548852079,8.63028326789412,5.02650545903742,7.26448037655185,4.96055398875639,5.5774820120014,3.74371392941491,4.15532061510404,5.56557217527555,3.9239105241468
"LOC111099218",5.52848483078578,5.53161423409382,4.84048218138884,4.92234256117259,5.53394111899372,5.83044256486717,3.49582235622565,4.12222246049236,5.6355796703292,5.04359701014675,5.20469246688787,5.06687727746067,5.32532353050713,5.31300578632274,6.26830307846446,4.7511376627685,4.17850855248247,6.56087337933208,5.25006060595137,6.02494098897262,5.61818304733105,5.7402831158252,6.38869441319147,5.06141404789673
"LOC111099220",7.03749847827364,6.83417700411425,7.22514603162416,6.50730506189374,4.90590989638067,5.64987031922534,6.66574735766796,6.19261178838376,5.42912879286178,7.0029550256494,5.83272368950091,7.32321703072046,6.26874000214076,6.80777047807232,6.54393752107789,7.49837159238854,6.10450797103869,6.38578667277399,6.31419094337109,7.24733341030907,5.85919114683484,7.38798137189431,4.18706055202182,5.99429985203819
"LOC111099221",5.91550795389503,5.08415525712259,5.37099689808761,5.21184917836757,4.61640327918569,5.20241134225412,6.43442181156151,5.50073408374609,5.42912879286178,4.1956001035918,5.44570056639166,6.85114858640524,5.32532353050713,4.66092908974305,5.19030056646319,6.03124558196124,5.02650545903742,5.6795178758307,5.87809182856441,5.5774820120014,6.06564202430227,6.08132003366026,6.25744987991322,6.12554438531645
"LOC111099222",3.41300761336584,4.4320785605429,4.47791210200413,5.21184917836757,4.90590989638067,4.55033464567443,3.49582235622565,4.12222246049236,5.18812069335798,5.04359701014675,3.33022334897173,4.70430719807596,4.43223873442364,4.66092908974305,4.34230365990824,4.26571083559826,4.66393537965271,5.51905320363745,5.25006060595137,4.43997848825147,4.48067952358111,4.64074744227428,6.25744987991322,4.40933735131704
"LOC111099289",3.41300761336584,3.94665173337266,5.57744777555504,4.92234256117259,5.83879570052214,4.06490781850419,5.61129957364559,5.88775720685534,5.6355796703292,5.96113484995478,5.83272368950091,4.21888037090572,5.08431543100333,4.66092908974305,5.72081528316196,4.7511376627685,4.17850855248247,5.51905320363745,7.94037610681876,4.43997848825147,5.32867643013606,4.64074744227428,4.18706055202182,3.18694492998059
