"","RNA17005","RNA17007","RNA17013","RNA17019","RNA17069","RNA17070","RNA17072","RNA17079","RNA17090","RNA17094","RNA17099","RNA17108","RNA17122","RNA17130","RNA17142","RNA17145","RNA17162","RNA17174","RNA17176","RNA17178","RNA17181","RNA17203","RNA17211","RNA17213"
"LOC111121086",3.16992500144231,2.58496250072116,2.32192809488736,2.32192809488736,3.90689059560852,2.32192809488736,3.90689059560852,3.16992500144231,2.8073549220576,3.16992500144231,2,2.32192809488736,3.58496250072116,2.58496250072116,2,3.32192809488736,2.58496250072116,3.8073549220576,2.32192809488736,2,1,3.58496250072116,2,3.32192809488736
"LOC111121092",3.90689059560852,4.58496250072116,4.52356195605701,4.95419631038687,3.90689059560852,3.16992500144231,4,4.24792751344359,3.70043971814109,4.24792751344359,2.8073549220576,4.4594316186373,4,4.32192809488736,4,3.4594316186373,4.24792751344359,3.90689059560852,3.8073549220576,4.4594316186373,4.39231742277876,4.52356195605701,4.85798099512757,2.58496250072116
"LOC111121093",3,3.16992500144231,3.32192809488736,0,4.24792751344359,4.08746284125034,4.16992500144231,4.64385618977472,2.8073549220576,0,1.58496250072116,3,3.32192809488736,2,2.58496250072116,1,3.4594316186373,4.52356195605701,2.8073549220576,4.08746284125034,3.32192809488736,2.8073549220576,2.8073549220576,3.58496250072116
"LOC111121095",4.95419631038687,5.12928301694497,3.4594316186373,3.70043971814109,5.08746284125034,5.08746284125034,5.95419631038687,2,5.4594316186373,3.70043971814109,2,5.64385618977472,0,2.8073549220576,1.58496250072116,4.90689059560852,6.35755200461808,4.85798099512757,2.58496250072116,0,4.75488750216347,5.75488750216347,3.32192809488736,2.58496250072116
"LOC111121096",0,2,2,3.32192809488736,2,3.58496250072116,1.58496250072116,1.58496250072116,1,2.32192809488736,2.32192809488736,1,3.58496250072116,1,1.58496250072116,2.8073549220576,0,2.8073549220576,0,1,0,2,0,2.58496250072116
"LOC111121097",2.32192809488736,1.58496250072116,2.58496250072116,2.32192809488736,2.32192809488736,2.32192809488736,2,2,0,2.32192809488736,1.58496250072116,2.8073549220576,3,2.32192809488736,1,2.32192809488736,0,1,0,2.58496250072116,2,1.58496250072116,1,3
"LOC111121098",2.32192809488736,3.58496250072116,1.58496250072116,1.58496250072116,3.8073549220576,2,2.58496250072116,3.4594316186373,3,2.8073549220576,2.8073549220576,2,2.32192809488736,4.24792751344359,1.58496250072116,3.32192809488736,1.58496250072116,3.16992500144231,2,2,2.32192809488736,4.08746284125034,3.16992500144231,3.70043971814109
"LOC111121125",3.32192809488736,2.32192809488736,1,2,1,2.8073549220576,1,1.58496250072116,1.58496250072116,2.32192809488736,2,2.32192809488736,3.70043971814109,0,1,2.58496250072116,1,3,3.58496250072116,1.58496250072116,1.58496250072116,0,2.32192809488736,2
"LOC111121129",3.4594316186373,3,3.32192809488736,3.58496250072116,3.4594316186373,4.08746284125034,2.8073549220576,2,3.16992500144231,3.4594316186373,3.8073549220576,3.8073549220576,1.58496250072116,0,1,3.4594316186373,1.58496250072116,3,4.32192809488736,1.58496250072116,3.58496250072116,3.16992500144231,2.8073549220576,4.39231742277876
"LOC111121133",0,2.8073549220576,2.8073549220576,1.58496250072116,2.32192809488736,2,2,2.8073549220576,2.32192809488736,2.58496250072116,3.16992500144231,0,2,2.58496250072116,1.58496250072116,2.8073549220576,2.32192809488736,2.32192809488736,2,1,1,1.58496250072116,2.32192809488736,0
"LOC111121136",6.32192809488736,1.58496250072116,2.58496250072116,7.76155123244448,2,2.32192809488736,3,2.32192809488736,2.8073549220576,2,3.90689059560852,2,3.4594316186373,3,2.32192809488736,2.32192809488736,4,3.70043971814109,4,2.8073549220576,3.58496250072116,1,1.58496250072116,3.58496250072116
"LOC111121140",3.16992500144231,4.08746284125034,4.08746284125034,3.70043971814109,3.70043971814109,4,3.70043971814109,3.58496250072116,3,3.16992500144231,4.24792751344359,2,4.52356195605701,3.4594316186373,3.4594316186373,3.70043971814109,3.4594316186373,5,4,3.58496250072116,3.8073549220576,4.08746284125034,2.32192809488736,4.4594316186373
"LOC111121142",7.71424551766612,8.0389189892923,8.65463602852797,9.12412131182919,8.89178370321831,8.06069593168755,8.7515440590891,9.03342300153745,7.8703647195834,8.6724253419715,7.89481776330794,9.07948478382682,8.77478705960117,8.55074678538324,8.34872815423108,7.3037807481771,7.49185309632967,7.18982455888002,8.31741261376487,8.46352437327118,9.17492568250068,8.7279204545632,8.4797802640291,7.99435343685886
